id,value,created_at
0F9BMTYBM78VW0PAKAM09JR7TQ,24,2023-04-14 00:00:00 UTC
0F9BMTZWAM6FP2QDC1PANM6JMT,23,2023-04-14 01:00:00 UTC
0F9BMV1D64Y0DNFPGAM1S8PABQ,21,2023-04-14 02:00:00 UTC
0F9BMV2Y56YJ2Q45FDZQ21PY6G,20,2023-04-14 03:00:00 UTC
0F9BMV4F7DS2FD56ZN4V7FS68B,19,2023-04-14 04:00:00 UTC
0F9BMXZ10871XZYDGC04D45S59,18,2023-04-14 05:00:00 UTC
0F9BMY0MP1NTEPWHA2FSF53XKE,18,2023-04-14 06:00:00 UTC
0F9BMY228X98EM8Z3WTWF06PKN,17,2023-04-14 07:00:00 UTC
0F9BNFFK78JBAHYJ2VE23511T9,15,2023-04-14 08:00:00 UTC
0F9BNFJMJ0TGPFGH01E5DF51GD,15,2023-04-14 09:00:00 UTC
0F9BNFP03AYJ7M5KN0QZRF356S,14,2023-04-14 10:00:00 UTC
0F9BNFRZN4N95T0A6JTGPJRH0C,13,2023-04-14 11:00:00 UTC
0F9BNFW3WVWN80M4NAB7GF5MY1,12,2023-04-14 12:00:00 UTC
0F9BNFZ5WHHMWQ2R4C5NFD4HBJ,11,2023-04-14 13:00:00 UTC
0F9BNHK7KEKTD2F55DW40R90VV,10,2023-04-14 14:00:00 UTC
0F9BNHP9F02Z6J53E1K91VCCZN,9,2023-04-14 15:00:00 UTC
0F9BNHSAR38YZPFQDQAM9ZQKBP,24,2023-04-14 16:00:00 UTC
0F9BNHWCH4ND0NEHCPW7WTW2TC,23,2023-04-14 17:00:00 UTC
0F9BNJVH2H3J66EF4N5KT6V0FW,22,2023-04-14 18:00:00 UTC
0F9BNJYNTP4YE266SVM47MQ5Q6,20,2023-04-14 19:00:00 UTC
0F9BNK1QJAVA1D26JZEK8DJBHN,19,2023-04-14 20:00:00 UTC
0F9BNTAX12JZBV53EG9387G6E1,18,2023-04-14 21:00:00 UTC
0F9BNTDYN3ZBRHGEXHB2RFBK4P,17,2023-04-14 22:00:00 UTC
0F9BNTHAB4Y9CFG39FFQ7RFAJF,15,2023-04-14 23:00:00 UTC
